Customer Type,Salutation,First Name,Last Name,Company Name,Customer Display Name,Customer Email,Work Phone,Mobile,DOB,Card Number,PAN,Currency,Opening Balance,Department,Designation,Website URL,Tax Type,GST Treatment,GSTIN/UIN,Place Of Supply,Business Legal Name,Business Trade Name,VAT Number,Billing Attention,Billing Country,Billing AddressLine1,Billing AddressLine2,Billing City,Billing State,Billing PinCode,Billing Phone,Billing FaxNumber,Shipping Attention,Shipping Country,Shipping AddressLine1,Shipping AddressLine2,Shipping City,Shipping State,Shipping PinCode,Shipping Phone,Shipping FaxNumber,Remark
Individual,Mr.,Shlok,Subramanian,Yogi-Chaudry,Tara Chhabra,luthradarshit@gmail.com,9374359136,916114463441,Thu Mar 20 1980 05:30:00 GMT+0530 (India Standard Time),36157473290373,MZNSz44198,INR,34302.64,Aeronautical engineer,Mental health nurse,[object Object],None,Consumer,hf6e3f0v1H1M5x,Manipur,Jain and Sons,Inc,VAT44490252,Yakshit Kalla,India,India,India,Pudukkottai,Manipur,183423,910460552767,916764043790,Yuvaan Bhalla,India,India,India,Dharmavaram,Manipur,211386,915493625894,6267609448,Maxime eligendi consectetur reiciendis.
Individual,Mr.,Baiju,Badal,Shere and Sons,Taimur Devan,kothariivana@yahoo.com,3811824804,2936886803,Mon Sep 30 1996 05:30:00 GMT+0530 (India Standard Time),4527899497790460,zBCuI05086,AED,2163.88,Scientist water quality,Stage manager,[object Object],GST,Registered Business,CH7P4u8Y1K0m5x,Umm Al Quwain,Ramakrishnan-Gola,and Sons,VAT81993240,Jayesh Shroff,United Arab Emirates,United Arab Emirates,United Arab Emirates,Bulandshahr,Umm Al-Quwain,376475,2569584903,5858769859,Ryan Kannan,United Arab Emirates,United Arab Emirates,United Arab Emirates,Panipat,Umm Al-Quwain,878622,862083925,919254872338,Voluptates similique enim.
Business,Mr.,Vidur,Thakkar,Mandal Thaman and Jani,Faiyaz Bansal,kismatbanerjee@gour.net,916244559551,9162957311,Wed Apr 15 1981 05:30:00 GMT+0530 (India Standard Time),6011677421458901,sHARA81991,AED,30949.64,Osteopath,Community pharmacist,[object Object],GST,Unregistered Business,pA3w6V9K6X8J6y,Sharjah,Khare and Sons,Group,VAT18463702,Saanvi Bala,United Arab Emirates,United Arab Emirates,United Arab Emirates,Guntur,Sharjah,172762,9148120019,3035205267,Manjari Aggarwal,United Arab Emirates,United Arab Emirates,United Arab Emirates,Allahabad,Sharjah,571081,156550642,9899505594,Odio explicabo placeat.
Business,Mr.,Umang,Bhatia,Zacharia LLC,Misha Dutt,vaibhav47@dora.com,912355564802,916873021260,Fri Jan 08 1999 05:30:00 GMT+0530 (India Standard Time),4339639849952402,uosxA70384,AED,27685.62,Corporate treasurer,Psychologist clinical,[object Object],VAT,Consumer,jB7K7e6r9g3E8q,Dubai,Rama-Krishna,PLC,VAT79116920,Samarth Wagle,United Arab Emirates,United Arab Emirates,United Arab Emirates,Gurgaon,Dubai,531757,911662692566,3675620345,Veer Ahuja,United Arab Emirates,United Arab Emirates,United Arab Emirates,Kadapa,Dubai,600278,3287890103,9705643753,Voluptatibus adipisci consectetur nam laboriosam.
Business,Mr.,Purab,Korpal,Kala Bassi and Mahajan,Mamooty Yogi,salviumang@goda-sethi.org,913924891703,2267845112,Wed Jun 08 1988 05:30:00 GMT+0530 (India Standard Time),6011081754955726,zjddm28497,AED,25336.56,Archivist,Pathologist,[object Object],None,Consumer,bS2i2s4V8f0W2T,Ras Al Khaimah,Chakrabarti Inc,LLC,VAT44287773,Reyansh Mall,United Arab Emirates,United Arab Emirates,United Arab Emirates,Muzaffarpur,Ras Al Khaimah,159050,8587106744,916141774,Akarsh Karpe,United Arab Emirates,United Arab Emirates,United Arab Emirates,Amravati,Ras Al Khaimah,219507,918787084264,2159451618,Quis nemo ab dolore perferendis.
Business,Mr.,Kabir,Konda,Sur Dass and Bhalla,Samar Dasgupta,qsoman@yahoo.com,1827690500,912039458054,Thu Apr 27 2000 05:30:00 GMT+0530 (India Standard Time),180000941025035,nLQOR70959,AED,2941.21,Surveyor planning and development,Teacher music,[object Object],GST,Overseas,jX9G5d8x9o3g1J,Dubai,Bhattacharyya-Bath,PLC,VAT61661562,Rohan Garg,United Arab Emirates,United Arab Emirates,United Arab Emirates,Tirunelveli,Dubai,159290,915166652623,5356274302,Kismat Ramaswamy,United Arab Emirates,United Arab Emirates,United Arab Emirates,Shimla,Dubai,776351,9533606646,1858718736,A praesentium veritatis illum culpa labore.
Business,Mr.,Tiya,Thaman,Luthra and Sons,Aarna Dua,mannonkar@yahoo.com,919962832780,1160652476,Thu Apr 18 1968 05:30:00 GMT+0530 (India Standard Time),343199062974478,drfEU40163,AED,22951.4,Engineer electrical,Public relations account executive,[object Object],VAT,Registered Business,iE0J1A9Z8v5E4n,Dubai,Roy-Varty,Ltd,VAT01675439,Heer Bassi,United Arab Emirates,United Arab Emirates,United Arab Emirates,Morena,Dubai,231516,5505043095,913996447592,Adira Raman,United Arab Emirates,United Arab Emirates,United Arab Emirates,Delhi,Dubai,392873,915296142485,913898837508,Nisi neque sed sunt. Nemo quam veniam.
Individual,Mr.,Elakshi,Sama,Verma and Sons,Zeeshan Sidhu,vivaan96@upadhyay.net,2132082425,913308493665,Mon Aug 09 1993 05:30:00 GMT+0530 (India Standard Time),376397810019196,viVDm74741,INR,11652.01,Equality and diversity officer,Production assistant radio,[object Object],None,Overseas,lP7k6B3m1j8B8O,Maharashtra,Bath Sabharwal and Sampath,Group,VAT28794686,Kashvi Kurian,India,India,India,Malda,Maharashtra,382357,910167618484,916185591909,Dishani Rajagopal,India,India,India,Bhopal,Maharashtra,470897,8463679056,7304395525,Ratione fuga inventore iure.
Individual,Mr.,Aaryahi,Walla,Sankaran Shah and Bhat,Reyansh Ramachandran,sana86@yahoo.com,9895094395,413221358,Wed Apr 17 2002 05:30:00 GMT+0530 (India Standard Time),180082967685934,WHcxq89310,INR,22700.4,IT trainer,Water quality scientist,[object Object],GST,Registered Business,Ly4C7Q9g9D5N7n,Tripura,Sidhu-Soni,Inc,VAT36299458,Ira Manne,India,India,India,Tinsukia,Tripura,967697,1427366068,6375833797,Kimaya Batra,India,India,India,Mangalore,Tripura,393725,567189037,911352744029,Quasi a dicta commodi alias amet.
Individual,Mr.,Ojas,Magar,Shenoy Dasgupta and Kota,Kavya Chaudry,azadswamy@chaudry-venkataraman.org,8713543142,9872226562,Wed Sep 16 1981 05:30:00 GMT+0530 (India Standard Time),213188746533724,nGqQY82937,AED,42558.33,Theme park manager,Exhibition designer,[object Object],None,Registered Business,gk2n0V2S3a8s8J,Ajman,Singh Arya and Bala,and Sons,VAT83450117,Myra Rastogi,United Arab Emirates,United Arab Emirates,United Arab Emirates,Hyderabad,Ajman,819775,9040215137,914917920377,Oorja Ratti,United Arab Emirates,United Arab Emirates,United Arab Emirates,Alwar,Ajman,326417,918891418789,7413674137,Tempore enim voluptas ipsa.
